to_day,meter_number,street,side,district,manufacturer,model,rate,from_day,block_limits,from_time,to_time,limit_hr,limit_min,timer,status,installed,maintenance_route
SAT,8014167,N 20,E,80,D-E,80,$2.00,MON,301,0800A,0800P,3,,3HR,"R		",07/01/1985,1-NWQ
FRI,914116,N 22,E,9,D-E,80,$2.00,MON,201,0800A,0400P,2,,2HR,"I		",02/26/1987,1-NWQ
SAT,3827180,S 20,W,38,D-E,80,$2.50,MON,400,0800A,0630P,2,,2HR,"I		",01/31/1965,2-SWQ
SAT,4415470,N 36,E,44,D-E,80,$1.00,MON,1,0800A,0630P,3,,3HR,"R		",08/01/1982,3-UCY
SAT,4616020,S 40,E,46,D-E,80,$1.50,SUN,101,0800A,0800P,2,,2HR,"R		",08/01/1981,3-UCY
SAT,4816186,S 38,E,48,D-E,80,$1.50,MON,201,0800A,0800P,3,,3HR,"R		",08/01/1982,3-UCY
SAT,102134,MEADOW,S,1,D-E,80,$1.00,MON,1600,0800A,0600P,2,,2HR-MC,"I		",01/01/1961,4
SAT,1605067,OLNEY AVE,N,16,D-E,80,$1.00,MON,501,0800A,0600P,2,,2HR-MC,"I		",01/01/1960,4
SAT,2206003,STENTON AVE,W,22,D-E,80,$1.00,MON,6300,0800A,0600P,2,,2HR-MC,"I		",01/01/1960,5-GTN
SAT,2307157,W ARMAT,N,23,D-E,80,$1.00,MON,1,0800A,0600P,2,,2HR-MC,"I		",03/10/1988,5-GTN
SAT,7526002,SUSQUEHANNA,S,75,D-E,80,$0.50,MON,1400,0800A,0600P,2,,2HR-MC,"R		",01/01/1981,5-NPH
SAT,7828407,N 5,E,78,D-E,80,$0.50,SUN,501,0700A,1159P,12,,4HR,"R		",01/01/1976,1-NEQ
SAT,5328090,N 16,E,53,D-E,80,$1.00,MON,101,0800A,0800P,2,,2HR,"R		",01/31/1982,1-NWQ
SAT,4330060,S 3,E,43,D,80,$2.50,MON,501,0800A,0600P,2,,2HR,"I		",01/31/1975,2-SEQ
SAT,6622022,S 2,W,66,D,80,$2.00,MON,600,0900A,0900P,2,,2HR,"R		",01/31/1968,2-SEQ
FRI,9124023,S 15,W,91,D-E-HP,80,$2.00,MON,100,0930A,0400P,1,,2HR,"R		",01/31/1975,2-SWQ
SAT,9124135,S 20,W,91,D-E,80,$1.50,MON,200,0800A,0630P,2,,2HR,"R		",01/31/1975,2-SWQ
SAT,7121146,S BROAD,W,71,D-E,80,$1.00,MON,1900,0800A,0800P,2,,2HR-MC,"I		",01/01/1960,6-SPH
SAT,CAL01,CALLOWHILL,N,80,METRIC,P&D,$8.00,SUN,LOT,0600A,1159P,24,,24HR,"I		",12/17/2014,1-NEQ
SAT,SM27004,JFK BLVD,S,34,POM,PBS,$0.75,MON,1700,0800A,1000P,12,,12HR,"R		",07/01/2009,1-NEQ
SAT,SM27031,N 11,E,40F,POM,PBS,$0.75,SUN,101,0800A,1000A,12,,24HR,"R		",10/29/2010,1-NEQ
SAT,SM27032,N 11,E,40F,POM,PBS,$0.75,SUN,101,0800A,1000A,12,,24HR,"R		",10/29/2010,1-NEQ
SAT,SM27040,N 11,E,40,POM,PBS,$0.75,SUN,1,0800A,1000A,12,,24HR,"R		",03/08/2011,1-NEQ
SAT,SM27041,ARCH,N,41C,POM,PBS,$0.75,SUN,1301,0800A,1000P,12,,24HR,"R		",03/01/2011,1-NEQ
SAT,SM27042,ARCH,N,41C,POM,PBS,$0.75,SUN,1301,0800A,1000P,12,,24HR,"I		",03/01/2011,1-NEQ
SAT,SM27043,ARCH,N,41C,POM,PBS,$0.75,SUN,1301,0800A,1000P,12,,24HR,"R		",03/01/2011,1-NEQ
SAT,12F002,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F002,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F003,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F003,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F006,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,1,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F006,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F007,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,1,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F007,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F008,RACE,S,41C,METRIC,P&D,$2.50,SUN,1200,0800A,0400P,2,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F008,RACE,S,41C,METRIC,P&D,$2.50,SUN,1200,0400P,1000P,3,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F010,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0800A,0400P,2,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F010,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0400P,1000P,3,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F011,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0800A,0400P,2,,24HR,"I		",11/29/2009,1-NEQ
SAT,12F011,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0400P,1000P,3,,24HR,"I		",11/29/2009,1-NEQ
SAT,12F012,N 11,E,12F,METRIC,P&D,$2.50,MON,201,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F012,N 11,E,12F,METRIC,P&D,$2.50,MON,201,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F014,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F014,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F015,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F015,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F016,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F016,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F017,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F017,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F018,RACE,S,12F,METRIC,P&D,$2.50,SUN,900,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F018,RACE,S,12F,METRIC,P&D,$2.50,SUN,900,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F020,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F020,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F021,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F021,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F022,N 9,E,12F,METRIC,P&D,$2.50,SUN,201,0800A,0400P,2,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F022,N 9,E,12F,METRIC,P&D,$2.50,SUN,201,0400P,1000P,3,,24HR,"I		",12/16/2009,1-NEQ
