the_geom,lng,street,city,state,latitude,the_geom_webmercator,district_number,block,side,lat,longitude
0101000020E6100000F8C4FFF210C952C0D05BCD8BEAF94340,-75.141659498,N FRONT ST,Philadelphia, PA,39.9524702790001,0101000020110F0000399273D1AEE85FC16CFAAE7227895241,10,99,W/S,39.9524702790001,-75.141659498
0101000020E610000028A7C35EF6CE52C04835024AB3FC4340,-75.2337872419999,N ITHAN ST,Philadelphia, PA,39.974221469,0101000020110F00007CF9B7B8B2F25FC12EA6E83A3D8C5241,3,99,W/S,39.974221469,-75.2337872419999
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,-75.2302704959999,PINE ST,Philadelphia, PA,39.95402434,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,1,2500,B/S,39.95402434,-75.2302704959999
0101000020E61000009484B8303AC952C010FF113C74F84340,-75.144176655,S 13TH ST,Philadelphia, PA,39.9410472000001,0101000020110F0000E0DACDDEF4E85FC1C28F48C788875241,24,2000,B/S,39.9410472000001,-75.144176655
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,-75.2302704959999,PINE ST,Philadelphia, PA,39.95402434,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,2,4200,S/S,39.95402434,-75.2302704959999
0101000020E610000024E62D128BCF52C0F8A9762F72FD4340,-75.2428632209999,W OXFORD ST,Philadelphia, PA,39.9800471620001,0101000020110F0000BAC10D4EAFF35FC15A3B80CD108D5241,3,5700,W/S,39.9800471620001,-75.2428632209999
0101000020E6100000CC9DFDD4FACA52C0383A807BE7F54340,-75.1715595699999,CARLISLE ST,Philadelphia, PA,39.921126783,0101000020110F00006226F1EEEEEB5FC11E65F8CFB5845241,16,3200,E/S,39.921126783,-75.1715595699999
0101000020E6100000CC9DFDD4FACA52C0383A807BE7F54340,-75.1715595699999,S CARLISLE ST,Philadelphia, PA,39.921126783,0101000020110F00006226F1EEEEEB5FC11E65F8CFB5845241,26,1100,W/S,39.921126783,-75.1715595699999
0101000020E61000009484B8303AC952C010FF113C74F84340,-75.144176655,N 13TH ST,Philadelphia, PA,39.9410472000001,0101000020110F0000E0DACDDEF4E85FC1C28F48C788875241,10,300,W/S,39.9410472000001,-75.144176655
0101000020E6100000A0AF7E3E3AC952C0B8E2454074F84340,-75.144179939,S 17TH ST,Philadelphia, PA,39.9410477010001,0101000020110F00000C6833F6F4E85FC16A5AF0CB88875241,1,800,B/S,39.9410477010001,-75.144179939
0101000020E610000024EF56753AC952C0F0017E8372F84340,-75.144193015,S 18TH ST,Philadelphia, PA,39.940994679,0101000020110F0000422E5C53F5E85FC12A4E3EDF86875241,1,900,B/S,39.940994679,-75.144193015
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,-75.1624456449999,STILES,Philadelphia, PA,39.952283116,0101000020110F00004E3B434BF1EA5FC1111639A720895241,3,5100,S/S,39.952283116,-75.1624456449999
0101000020E610000068E5B6613AC952C050B4807D72F84340,-75.144188336,S 12TH ST,Philadelphia, PA,39.9409939650001,0101000020110F0000B7580632F5E85FC141D39BD886875241,4,500,W/S,39.9409939650001,-75.144188336
0101000020E6100000286F0F8E2ECB52C018F09FCC11F94340,-75.174716487,LOMBARD ST,Philadelphia, PA,39.9458556920001,0101000020110F0000E82B3BCA46EC5FC161CEBE5237885241,1,2100,S/S,39.9458556920001,-75.174716487
0101000020E610000044A8E25E6ACB52C0B8A3107F0FF84340,-75.178367349,ANNIN,Philadelphia, PA,39.937972911,0101000020110F00008DFF9A64ACEC5FC1B830BF3019875241,23,900,S/S,39.937972911,-75.178367349
0101000020E6100000286F0F8E2ECB52C018F09FCC11F94340,-75.174716487,LOMBARD ST,Philadelphia, PA,39.9458556920001,0101000020110F0000E82B3BCA46EC5FC161CEBE5237885241,1,1600,S/S,39.9458556920001,-75.174716487
0101000020E610000044B260453AC952C070E7604274F84340,-75.14418158,S 19TH ST,Philadelphia, PA,39.9410479520001,0101000020110F0000B65BE401F5E85FC13F7045CE88875241,1,400,E/S,39.9410479520001,-75.14418158
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,-75.1624456449999,PASSYUNK LOT,Philadelphia, PA,39.952283116,0101000020110F00004E3B434BF1EA5FC1111639A720895241,22,1000,,39.952283116,-75.1624456449999
0101000020E6100000B0DB164E3AC952C0688C857772F84340,-75.144183657,S 06TH ST,Philadelphia, PA,39.9409932520001,0101000020110F00003483B010F5E85FC14DB9FBD186875241,22,900,B/S,39.9409932520001,-75.144183657
0101000020E61000009467AC9DCBCA52C0A0833106FCF54340,-75.168677729,CLARION ST,Philadelphia, PA,39.9217536680001,0101000020110F0000E3D66ABB9EEB5FC19A6F7F8FCC845241,24,2400,W/S,39.9217536680001,-75.168677729
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,-75.1624456449999,CARPENTERST,Philadelphia, PA,39.952283116,0101000020110F00004E3B434BF1EA5FC1111639A720895241,22,1100,B/S,39.952283116,-75.1624456449999
0101000020E610000018990D5317CD52C01099941D83F94340,-75.20454861,WOODLAND TERR,Philadelphia, PA,39.9493138290001,0101000020110F0000F8629F0385EF5FC19E09D2DBB4885241,2,500,B/S,39.9493138290001,-75.20454861
0101000020E6100000E4A46E9C91CA52C0B834048801004440,-75.1651373939999,W INDIANA AVE,Philadelphia, PA,40.000046732,0101000020110F00000EA07C343CEB5FC19E9E8244E78F5241,16,1400,B/S,40.000046732,-75.1651373939999
0101000020E6100000A00B709575CC52C0C8CC04E447FB4340,-75.194676742,BRANDYWINE ST,Philadelphia, PA,39.96313143,0101000020110F000037A8044872EE5FC198176F85AA8A5241,10,1000,N/S,39.96313143,-75.194676742
0101000020E6100000F46613E1B8CA52C0600E1FD1B7F54340,-75.167534131,CAMAC ST,Philadelphia, PA,39.919672146,0101000020110F000032DDE9E77EEB5FC1282A240781845241,24,2500,W/S,39.919672146,-75.167534131
0101000020E610000084F7961EBFCA52C050C48ED8C4F54340,-75.167915008,S ISEMINGER ST,Philadelphia, PA,39.920069761,0101000020110F0000D0A1738189EB5FC1725FC0748F845241,24,2600,E/S,39.920069761,-75.167915008
0101000020E6100000DCA1442577CF52C030574F185AFB4340,-75.241647069,N MILLICK ST,Philadelphia, PA,39.96368698,0101000020110F0000928CA4758DF35FC1AED773B1BE8A5241,3,99,W/S,39.96368698,-75.241647069
0101000020E6100000FC9E399A0CCF52C0385CAE6297F94340,-75.235144192,CATHARINE ST,Philadelphia, PA,39.9499324180001,0101000020110F000009D13C7CD8F25FC11EE9A550CB885241,1,2100,B/S,39.9499324180001,-75.235144192
0101000020E6100000CCC7434C3AC952C060C6794474F84340,-75.144183222,N 21ST ST,Philadelphia, PA,39.941048202,0101000020110F00004F22970DF5E85FC1162598D088875241,6,600,B/S,39.941048202,-75.144183222
0101000020E610000070B525DD1CCC52C0D824605D5DF74340,-75.18926171,TANEY ST,Philadelphia, PA,39.9325367660001,0101000020110F0000A250E894DBED5FC1CB55CCE253865241,1,500,B/S,39.9325367660001,-75.18926171
0101000020E610000054C68B27F0CA52C0D0EB2D8A03F64340,-75.1709078659999,S ROSEWOOD ST,Philadelphia, PA,39.921983025,0101000020110F0000EE3EE9CBDCEB5FC144E826E2D4845241,27,2300,E/S,39.921983025,-75.1709078659999
0101000020E61000009496D39621CB52C0E87BF490ADF84340,-75.17392512,FITZWATER ST,Philadelphia, PA,39.9427968210001,0101000020110F00006BB62DC430EC5FC1FF277949C8875241,1,1900,B/S,39.9427968210001,-75.17392512
0101000020E6100000B83E4B0E3AC952C0C858913174F84340,-75.144168447,N 03RD ST,Philadelphia, PA,39.9410459480001,0101000020110F0000C79F53A4F4E85FC19345A6BB88875241,10,700,B/S,39.9410459480001,-75.144168447
0101000020E6100000F09267AD54C952C0F0ED5DF01AFA4340,-75.145793296,N ORIANNA ST,Philadelphia, PA,39.953947111,0101000020110F000027587ADC21E95FC18A7845105D895241,10,1100,E/S,39.953947111,-75.145793296
0101000020E6100000C0EE2C5B3AC952C0689A817B72F84340,-75.144186777,S 10TH ST,Philadelphia, PA,39.940993727,0101000020110F00007BF3EA26F5E85FC141AA65D686875241,24,2000,B/S,39.940993727,-75.144186777
0101000020E6100000F8EB5933D9CA52C07815C641C2F54340,-75.1695068719999,S JUNIPER ST,Philadelphia, PA,39.9199907510001,0101000020110F0000E1609ACEB5EB5FC1E30DCB968C845241,22,799,E/S,39.9199907510001,-75.1695068719999
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,-75.2302704959999,PINE ST,Philadelphia, PA,39.95402434,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,1,1400,N/S,39.95402434,-75.2302704959999
0101000020E6100000A491C603F2CD52C0180E8E4351FB4340,-75.2178964079999,WALLACE ST,Philadelphia, PA,39.9634174770001,0101000020110F00009AB84E7BF8F05FC1D43454E8B48A5241,10,1100,B/S,39.9634174770001,-75.2178964079999
0101000020E6100000A807625FA6CA52C0181B9D3A29F54340,-75.166404577,MOLLBORE TERR,Philadelphia, PA,39.915320708,0101000020110F0000712877785FEB5FC1984B3C22E3835241,29,700,B/S,39.915320708,-75.166404577
0101000020E610000054F7EBF59EC952C0806D5362F5004440,-75.150327187,VENANGO ST,Philadelphia, PA,40.0074885280001,0101000020110F0000B826F209A0E95FC1EE734EA3F5905241,16,1500,B/S,40.0074885280001,-75.150327187
0101000020E6100000D824798DA1CD52C0A004ECC622FA4340,-75.21298539,S MELVILLE,Philadelphia, PA,39.9541863110001,0101000020110F0000A09D04CF6FF05FC127E168BF65895241,2,200,E/S,39.9541863110001,-75.21298539
0101000020E6100000E4C5A70551CC52C088676F8128024440,-75.1924451959999,WARDEN DR,Philadelphia, PA,40.0168611330001,0101000020110F0000156F7C2D34EE5FC1B3B6F1324A925241,8,3400,B/S,40.0168611330001,-75.1924451959999
0101000020E6100000845D97BED0CE52C0C05284ABEEF94340,-75.2314907529999,LARCHWOOD ST,Philadelphia, PA,39.9525961300001,0101000020110F00000BE880CF72F25FC1B2D652042C895241,2,5800,B/S,39.9525961300001,-75.2314907529999
0101000020E6100000042836B4FBCD52C078D991529F034440,-75.21848779,DEXTER,Philadelphia, PA,40.0282996380001,0101000020110F0000A2D493F008F15FC1FF60BCE3E9935241,15,4300,E/S,40.0282996380001,-75.21848779
